"Step","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MAX"
"73","347.51141357421875","347.51141357421875","347.51141357421875","317.73974609375","317.73974609375","317.73974609375","284.4292297363281","284.4292297363281","284.4292297363281"
"74","346.71173095703125","346.71173095703125","346.71173095703125","319.45947265625","319.45947265625","319.45947265625","284.279296875","284.279296875","284.279296875"
"75","347.0666809082031","347.0666809082031","347.0666809082031","319.66668701171875","319.66668701171875","319.66668701171875","284.6000061035156","284.6000061035156","284.6000061035156"
"76","417.6973876953125","417.6973876953125","417.6973876953125","338.3333435058594","338.3333435058594","338.3333435058594","283.72808837890625","283.72808837890625","283.72808837890625"
"77","417.337646484375","417.337646484375","417.337646484375","338.85284423828125","338.85284423828125","338.85284423828125","283.85284423828125","283.85284423828125","283.85284423828125"
"78","417.05126953125","417.05126953125","417.05126953125","338.9102783203125","338.9102783203125","338.9102783203125","283.974365234375","283.974365234375","283.974365234375"
"79","417.5316467285156","417.5316467285156","417.5316467285156","338.71307373046875","338.71307373046875","338.71307373046875","281.87762451171875","281.87762451171875","281.87762451171875"
"80","368.4375","368.4375","368.4375","324.4375","324.4375","324.4375","254","254","254"
"81","369.58331298828125","369.58331298828125","369.58331298828125","350.67901611328125","350.67901611328125","350.67901611328125","255.0154266357422","255.0154266357422","255.0154266357422"
"82","369.29876708984375","369.29876708984375","369.29876708984375","350.9756164550781","350.9756164550781","350.9756164550781","255.4573211669922","255.4573211669922","255.4573211669922"
"83","369.3222961425781","369.3222961425781","369.3222961425781","351.9277038574219","351.9277038574219","351.9277038574219","256.67169189453125","256.67169189453125","256.67169189453125"
